Material (compound);Physical property;Numerical value;Unit;Temperature;Reference;;;
BiPCa3 (p-type);ZT value;0.991;dimensionless;300 K;10.1007/s00894-023-05732-z;;;
BiPMg3;ZT value;0.679;dimensionless;900 K;10.1007/s00894-023-05732-z;;;
BiPMg3 (p-type);ZT value;0.73;dimensionless;900 K;10.1007/s00894-023-05732-z;;;
BiPMg3 (p-type);ZT value;0.95;dimensionless;300 K;10.1007/s00894-023-05732-z;;;
BiPMg3 (p-type);ZT value;0.955;dimensionless;300 K;10.1007/s00894-023-05732-z;;;
BiPSr3 (n-type);ZT value;0.982;dimensionless;300 K;10.1007/s00894-023-05732-z;;;
BiPSr3 (n-type);ZT value;0.764;dimensionless;900 K;10.1007/s00894-023-05732-z;;;
BiPSr3 (p-type);ZT value;0.985;dimensionless;300 K;10.1007/s00894-023-05732-z;;;
BiPSr3 (p-type);ZT value;0.893;dimensionless;900 K;10.1007/s00894-023-05732-z;;;
Bi-rich polycrystalline Mg3Sb0.5Bi1.498Te0.002;ZT value;0.72;dimensionless;298.15 K;10.1038/s41467-024-49440-5;;;
BiSb;ZT value;2;unitless;300 K;10.1016/j.crci.2009.05.004;;;
BiSbTe;ZT value;1.86;unitless;room temperature;10.1016/j.apenergy.2017.08.231;;;
BiSbTe;ZT value;1.33;unitless;373 K;10.1016/j.matchemphys.2017.04.010;;;
BiSbTe;ZT value;1.4;unitless;373 K;10.1016/j.jallcom.2017.10.016;;;
BiSbTe;ZT value;1.86;unitless;320 K;10.1016/j.jallcom.2017.10.016;;;
BiSbTe;ZT value;1.54;unitless;440 K;10.1016/j.jallcom.2015.11.217;;;
BiSbTe;ZT value;1.5;unitless;not specified;10.1016/j.physb.2014.04.018;;;
BiSbTe;ZT value;1.56;unitless;300 K;10.1016/j.jallcom.2017.10.016;;;
BiSbTe;ZT value;1.29;unitless;300 K;10.1016/j.jallcom.2015.11.217;;;
BiSbTe;ZT value;1.14;unitless;350 K;10.1016/j.intermet.2017.10.015;;;
BiSbTe;ZT value;1.3;unitless;380 K;10.1016/j.jallcom.2017.10.016;;;
BiSbTe;ZT value;1.38;unitless;383 K;10.1016/j.matchemphys.2017.04.010;;;
BiSbTe;ZT value;1.4;unitless;100 °C;10.1016/j.enconman.2017.06.087;;;
BiSbTe;ZT value;1;unitless;not specified;10.1016/j.physb.2014.04.018;;;
BiSbTe1.5Se1.5;ZT value;0.43;dimensionless;500 K;10.1134/S106378262202018X;;;
BiSbTe3;ZT value;1.47;unitless;443 K;10.1016/j.jmat.2016.08.002;;;
BiSbTe/PbTe (0.05 wt%);ZT value;1;dimensionless;350 K;10.1007/s10854-018-8765-1;;;
Bismuth Antimony Telluride;ZT value;1.86;dimensionless;320 K;10.1007/s10853-022-07532-x;;;
Bismuth Antimony Telluride;ZT value;1.5;dimensionless;390 K;10.1007/s10853-022-07532-x;;;
Bismuth Antimony Telluride;ZT value;1.42;dimensionless;348 K;10.1007/s10853-022-07532-x;;;
Bismuth-doped lead telluride;ZT value;1.1;dimensionless;773 K;10.1007/s11664-013-2832-4;;;
Bismuth(III) sulfide;ZT value;0.8;dimensionless;760 K;10.1007/s42247-023-00597-7;;;
BiTeBr;ZT value;0.75;unitless;300 K;10.1016/j.commatsci.2017.08.019;;;
Bismuth powder (10 μm to 150 μm);ZT value;0.169;dimensionless;300 K;10.1007/s11664-012-2154-y;;;
Bismuth powder (<36 μm);ZT value;0.277;dimensionless;300 K;10.1007/s11664-012-2154-y;;;
Bismuth selenide;ZT value;0.48;dimensionless;425 K;10.1007/s12598-020-01414-4;;;
Bismuth selenide;ZT value;0.41;dimensionless;600 K;10.1134/S0020168515010082;;;
Bismuth Selenide;ZT value;0.96;dimensionless;97 °C;10.1007/s11837-021-04976-5;;;
Bismuth Selenide;ZT value;0.96;dimensionless;370 K;10.1007/s10854-024-13037-x;;;
Bismuth Selenide Iodide (BiSe0.95I);ZT value;0.18;dimensionless;573 K;10.1007/s40843-020-1407-x;;;
Bismuth Selenide Iodide (BiSe0.95I);ZT value;0.11;dimensionless;573 K;10.1007/s40843-020-1407-x;;;
Bismuth Strontium Cobalt Oxide (Bi2Sr2Co2O9);ZT value;1.1;dimensionless;1000 K;10.1007/s11664-014-3024-6;;;
Bismuth sulfide;ZT value;0.5;dimensionless;732 K;10.1007/s10854-024-13037-x;;;
bismuth telluride;ZT value;0.85;dimensionless;300 K;10.1007/s11434-013-0087-3;;;
bismuth telluride;ZT value;1.18;dimensionless;300 K;10.1007/s11051-017-3745-6;;;
bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1007/s11664-015-3682-z;;;
Bismuth telluride;ZT value;1.35;dimensionless;300 K;10.1186/s11671-016-1407-8;;;
Bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1007/s11837-016-1980-4;;;
Bismuth telluride;ZT value;1.4;dimensionless;298.15 K;10.1038/s44287-023-00013-6;;;
Bismuth telluride;ZT value;0.74;dimensionless;498 K;10.1007/s11664-022-09985-x;;;
Bismuth telluride;ZT value;0.37;dimensionless;385 K;10.1007/s10854-023-10490-y;;;
Bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1007/s10853-024-09865-1;;;
Bismuth telluride;ZT value;0.71;dimensionless;310 K;10.1007/s10854-020-03396-6;;;
Bismuth telluride;ZT value;0.36;dimensionless;540 K;10.1007/s10854-024-12389-8;;;
Bismuth telluride;ZT value;0.61;dimensionless;423 K;10.1134/S0020168515010082;;;
Bismuth telluride;ZT value;0.11;dimensionless;50 °C;10.1557/jmr.2018.390;;;
Bismuth telluride;ZT value;1.12;dimensionless;300 K;10.1007/s10904-025-03800-w;;;
Bismuth telluride;ZT value;0.46;dimensionless;298.15 K;10.1557/jmr.2015.142;;;
Bismuth telluride;ZT value;2.5;dimensionless;298.15 K;10.1007/s11664-016-4781-1;;;
Bismuth telluride;ZT value;0.9;dimensionless;298.15 K;10.1007/s11664-023-10590-9;;;
Bismuth telluride;ZT value;0.32;dimensionless;300 K;10.1007/s11664-017-6020-9;;;
Bismuth telluride;ZT value;1.41;dimensionless;300 K;10.1007/s10948-024-06701-0;;;
Bismuth telluride;ZT value;1.8;dimensionless;298.15 K;10.1007/s11664-022-09974-0;;;
Bismuth telluride;ZT value;0.9;dimensionless;50 °C;10.1007/s11837-024-06941-4;;;
Bismuth telluride;ZT value;1.18;dimensionless;423 K;10.1007/s10854-024-13037-x;;;
Bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1007/s11664-019-07249-9;;;
Bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1007/s11664-012-2295-z;;;
Bismuth telluride;ZT value;0.4;dimensionless;500 K;10.1007/s11664-022-09985-x;;;
Bismuth telluride;ZT value;0.8;dimensionless;300 K;10.1007/s11664-017-6020-9;;;
Bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1038/s41467-024-48583-9;;;
Bismuth telluride;ZT value;1.16;dimensionless;423 K;10.1007/s13391-014-4139-x;;;
Bismuth telluride;ZT value;1;dimensionless;400 K;10.1007/s10854-018-9444-y;;;
Bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1038/s41467-024-48268-3;;;
Bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1007/s10904-024-03336-5;;;
Bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1557/opl.2011.1467;;;
Bismuth Telluride;ZT value;0.14;dimensionless;450 K;10.1007/s10854-023-10064-y;;;
bismuth telluride alloy nanorods;ZT value;0.47;dimensionless;430 K;10.1007/s11664-016-5104-2;;;
bismuth telluride-based nanoplates;ZT value;0.43;dimensionless;175 °C;10.1038/srep33135;;;
Bismuth Telluride-based system;ZT value;1.1;dimensionless;650 K;10.1038/s41524-021-00645-y;;;
Bismuth Telluride-based system;ZT value;1.2;dimensionless;650 K;10.1038/s41524-021-00645-y;;;
Ca2.6Nd0.3Na0.1Co4O9+δ;ZT value;0.29;unitless;1073 K;10.1016/j.ssc.2008.03.012;;;
bismuth telluride-based thermoelectric materials;ZT value;1.47;dimensionless;420 K;10.1007/s10854-023-10490-y;;;
Bismuth telluride-based thermoelectric module;ZT value;0.82;dimensionless;298.15 K;10.1007/s11664-015-4271-x;;;
Bismuth Telluride (Bi2Te3);ZT value;0.41;dimensionless;390 K;10.1007/s11664-019-06935-y;;;
Bismuth Telluride (Bi2Te3);ZT value;0.3;dimensionless;298 K;10.1007/s11664-019-06935-y;;;
Bismuth telluride (bulk TEGs);ZT value;0.8;dimensionless;298.15 K;10.1007/s11664-014-3451-4;;;
Bismuth Telluride (C2-30-1503);ZT value;0.758;dimensionless;298 K;10.1007/s11664-015-3723-7;;;
Bismuth Telluride (RC12-4);ZT value;0.673;dimensionless;298 K;10.1007/s11664-015-3723-7;;;
Bismuth Telluride Selenide (Bi2Te1.95Se1.05);ZT value;0.76;dimensionless;523 K;10.1007/s11664-020-08258-9;;;
Bismuth Telluride Selenide (Bi2Te2.4Se0.6);ZT value;0.63;dimensionless;440 K;10.3938/jkps.65.1908;;;
Bismuth Telluride Selenide (Bi2Te2.4Se0.6);ZT value;0.65;dimensionless;500 K;10.1007/s11664-022-09985-x;;;
Bismuth Telluride Selenide (Bi2Te2.55Se0.45);ZT value;0.76;dimensionless;473 K;10.3938/jkps.67.1809;;;
Bismuth Telluride Selenide (Bi2Te2.55Se0.45);ZT value;0.76;dimensionless;473 K;10.3938/jkps.67.1809;;;
Bismuth Telluride Selenide (Bi2Te2.75Se0.15);ZT value;0.66;dimensionless;343 K;10.3938/jkps.66.1726;;;
Bismuth Telluride Selenide (Bi2Te2.79Se0.21);ZT value;0.57;dimensionless;475 K;10.1007/s11664-022-09985-x;;;
Bismuth telluride selenide solid solution (Bi2Te2.55Se0.45);ZT value;0.76;dimensionless;473 K;10.3938/jkps.67.1809;;;
Bismuth telluride selenide sulfide;ZT value;1.1;dimensionless;350 K;10.1007/s12598-020-01615-x;;;
Bismuth telluride selenide sulfide;ZT value;1;dimensionless;300 K;10.1007/s12598-020-01615-x;;;
Bismuth Tellurium Selenide;ZT value;1.1;dimensionless;200 °C;10.1007/s11837-021-04976-5;;;
Bi–Te/Bi–Te–Se composite;ZT value;0.05;dimensionless;300 K;10.1007/s10854-021-06946-8;;;
BiTeBr;ZT value;0.55;unitless;300 K;10.1016/j.commatsci.2017.08.019;;;
BiTeBr;ZT value;0.17;unitless;room temperature;10.1016/j.jssc.2012.05.037;;;
BiTeBr;ZT value;1.78;unitless;600 K;10.1016/j.commatsci.2017.08.019;;;
BiTeBr;ZT value;0.35;dimensionless;560 K;10.1007/s12598-019-01235-0;;;
BiTeBr;ZT value;0.17;unitless;room temperature;10.1016/j.jssc.2012.05.037;;;
BiTeBr;ZT value;1.31;unitless;600 K;10.1016/j.commatsci.2017.08.019;;;
Bi-Te thin film (36% Te);ZT value;0.01;dimensionless;300 K;10.1007/s11664-009-1047-1;;;
Bi-Te thin film (45% Te);ZT value;0.02;dimensionless;300 K;10.1007/s11664-009-1047-1;;;
Bi-Te thin film (55% Te);ZT value;0.21;dimensionless;300 K;10.1007/s11664-009-1047-1;;;
Bi-Te thin film (64% Te);ZT value;0.36;dimensionless;300 K;10.1007/s11664-009-1047-1;;;
BixSb2-xTe3;ZT value;1.4;unitless;373 K;10.1016/j.intermet.2017.10.015;;;
BixSb2−xTe3;ZT value;1.4;unitless;100 °C;10.1016/j.enconman.2017.04.096;;;
BixSb2−xTe3;ZT value;1.4;unitless;100 °C;10.1016/j.rser.2013.03.008;;;
Boron-doped p-type SiGe;ZT value;0.75;dimensionless;700 °C;10.1007/s11664-015-3761-1;;;
Br-doped (AgBiTe2)0.7(SnTe)0.3 (Br 6%);ZT value;0.21;dimensionless;423 K;10.1007/s12598-022-02099-7;;;
Br-doped Bi2SeS2 (x = 0.12);ZT value;1.12;dimensionless;773 K;10.1038/s41467-021-27564-2;;;
Br-doped Cu2Se;ZT value;1.16;dimensionless;305 K;10.1007/s11664-023-10808-w;;;
Br-doped InSe (1.5%);ZT value;0.13;dimensionless;773 K;10.1007/s12598-024-02756-z;;;
Br-doped n-type SnSe crystals;ZT value;2.8;dimensionless;773 K;10.1038/s41563-021-01064-6;;;
Br-doped PbSe;ZT value;1.1;dimensionless;623 K;10.1007/s40843-024-3110-7;;;
Br-doped PbSe crystal;ZT value;0.6;dimensionless;298.15 K;10.1007/s40843-024-3110-7;;;
Br-doped SnS;ZT value;0.37;dimensionless;300 K;10.1007/s10853-024-09886-w;;;
Br-doped SnS;ZT value;0.4;dimensionless;323 K;10.1007/s40843-021-1684-0;;;
bulk amorphous Si0.65Ge0.35;ZT value;1.09E-03;dimensionless;670 K;10.1007/s11664-018-6103-2;;;
Bulk Bi0.4Sb1.6Te3.0;ZT value;0.8;dimensionless;300 K;10.1007/s11664-012-2420-z;;;
bulk Bi2Te3;ZT value;0.7;dimensionless;298.15 K;10.1557/s43578-022-00694-z;;;
bulk Bi2Te3;ZT value;0.6;dimensionless;300 K;10.1038/srep08099;;;
Bulk Bi2Te3-related materials;ZT value;0.8;dimensionless;250 °C;10.1557/opl.2013.149;;;
bulk GaN;ZT value;0.0017;dimensionless;300 K;10.1007/s11664-021-08744-8;;;
bulk MoS2;ZT value;0.1;dimensionless;700 K;10.1007/s11664-016-4725-9;;;
bulk PbTe;ZT value;0.7;dimensionless;642 K;10.1557/opl.2012.473;;;
bulk polycrystalline SnSe;ZT value;0.8;dimensionless;773 K;10.1007/s10854-023-10487-7;;;
Bulk Si;ZT value;0.01;dimensionless;298.15 K;10.1007/s11664-014-3324-x;;;
bulk SiGe alloy;ZT value;0.6;dimensionless;1000 K;10.1134/S1995078019040098;;;
bulk silicon;ZT value;0.01;dimensionless;300 K;10.1007/s10854-022-09591-x;;;
Bulk silicon;ZT value;0.01;dimensionless;298.15 K;10.1140/epjb/e2015-50673-9;;;
bulk SnSe;ZT value;2.3;dimensionless;923 K;10.1038/ncomms13713;;;
Bulk SnSe;ZT value;2.6;dimensionless;973 K;10.1007/s11664-024-11128-3;;;
C;ZT value;3.25;unitless;800 K;10.1016/j.pmatsci.2016.07.002;;;
Ca0.15Co3.98Ni0.02Sb11.80;ZT value;1;unitless;1073 K;10.1016/j.jallcom.2007.11.144;;;
Ca0.15Co3.98Ni0.02Sb11.80;ZT value;1;dimensionless;1073 K;10.1007/s10854-017-8031-y;;;
Ca0.25Yb0.75Zn2Sb2;ZT value;0.9;unitless;773 K;10.1016/j.nanoen.2016.04.023;;;
Ca0.2Co4Sb12;ZT value;0.5;unitless;700 K;10.1016/j.jallcom.2016.03.239;;;
Ca0.2Co4Sb12;ZT value;0.45;unitless;800 K;10.1016/j.jallcom.2016.03.239;;;
(Ca0.2Sr0.2Ba0.2Pb0.2La0.2)TiO3;ZT value;0.2;dimensionless;873 K;10.1007/s40145-021-0462-5;;;
(Ca0.2Sr0.2Ba0.2Pb0.2La0.2)TiO3;ZT value;0.2;dimensionless;873 K;10.1007/s40145-021-0462-5;;;
(Ca0.2Sr0.2Ba0.2Pb0.2La0.2)TiO3 high-entropy perovskite;ZT value;0.2;dimensionless;873 K;10.1007/s40145-021-0462-5;;;
Ca0.31Co4Sb12;ZT value;1.15;unitless;840 K;10.1016/j.jallcom.2016.03.239;;;
Ca0.31Co4Sb12;ZT value;1.15;unitless;840 K;10.1016/j.jallcom.2016.03.239;;;
Ca0.31Co4Sb12;ZT value;1.15;unitless;840 K;10.1016/j.jallcom.2016.03.239;;;
Ca0.31Co4Sb12;ZT value;1.15;unitless;840 K;10.1016/j.jallcom.2016.03.239;;;
Ca0.31Co4Sb12;ZT value;1.15;unitless;840 K;10.1016/j.jallcom.2016.03.239;;;
Ca0.35Ce0.35Nd0.35Fe3.5Co0.5Sb12;ZT value;1.1;unitless;475 °C;10.1016/j.jallcom.2014.10.102;;;
Ca0.35Ce0.35Nd0.35Fe3.5Co0.5Sb12;ZT value;1.1;unitless;475 °C;10.1016/j.jallcom.2014.10.102;;;
Ca0.5Ce0.5Fe3.5Ni0.5Sb12;ZT value;0.85;unitless;700 K;10.1016/j.jallcom.2011.10.042;;;
Ca0.5Ce0.5Fe3.5Ni0.5Sb12;ZT value;0.85;unitless;700 K;10.1016/j.jallcom.2011.10.042;;;
Ca0.5Ce0.5Fe4−xNixSb12;ZT value;0.85;unitless;700 K;10.1016/j.intermet.2012.08.005;;;
Ca0.5Yb0.5Mg2Bi2;ZT value;1;unitless;873 K;10.1016/j.mtphys.2017.07.002;;;
Ca0.5Yb0.5Zn0.9985Mg0.9985Ag0.003Sb2;ZT value;1.17;dimensionless;773 K;10.1007/s12598-024-02667-z;;;
Ca0.74Fe3CoSb12;ZT value;0.91;unitless;800 K;10.1016/j.intermet.2010.12.001;;;
(Ca0.87Ag0.1La0.03)3Co4O9/Bi2O3 (6 wt.%);ZT value;0.3;dimensionless;1073 K;10.1007/s10854-019-02838-0;;;
Ca0.8Lu0.2MnO3;ZT value;0.16;dimensionless;973 K;10.1557/jmr.2018.376;;;
Ca0.96Bi0.04Mn0.96V0.04O3−δ;ZT value;0.21;unitless;1050 K;10.1016/j.ssc.2007.10.012;;;
Ca0.96Dy0.02Bi0.02MnO3;ZT value;0.21;unitless;973 K;10.1016/j.apenergy.2014.12.075;;;
Ca0.96Dy0.02Er0.02MnO3;ZT value;0.23;unitless;973 K;10.1016/j.ceramint.2014.07.028;;;
Ca0.96Dy0.02Ho0.02MnO3;ZT value;0.23;unitless;973 K;10.1016/j.ceramint.2014.07.028;;;
Ca0.96Dy0.02Ho0.02MnO3 / Ca0.96Dy0.02Er0.02MnO3;ZT value;0.23;unitless;973 K;10.1016/j.ceramint.2014.07.028;;;
Ca0.96Dy0.02Yb0.02MnO3;ZT value;0.25;unitless;973 K;10.1016/j.jssc.2014.12.010;;;
Ca0.96Dy0.02Yb0.02MnO3;ZT value;0.25;unitless;973 K;10.1016/j.jssc.2014.12.010;;;
Ca0.96Dy0.02Yb0.02MnO3;ZT value;0.27;unitless;1073 K;10.1016/j.ceramint.2014.09.089;;;
Ca0.96Dy0.02Yb0.02MnO3;ZT value;0.25;unitless;973 K;10.1016/j.jssc.2014.12.010;;;
Ca0.96Dy0.02Yb0.02MnO3;ZT value;0.25;unitless;973 K;10.1016/j.jssc.2014.12.010;;;
Ca0.96Gd0.04MnO3;ZT value;0.24;unitless;700 °C;10.1016/j.ijhydene.2015.09.017;;;
Ca0.97Bi0.03MnO3;ZT value;0.065;unitless;473 K;10.1016/j.matpr.2017.06.129;;;
Ca0.97Bi0.03MnO3;ZT value;0.25;unitless;973 K;10.1016/j.jallcom.2014.12.141;;;
Ca0.97Bi0.03MnO3;ZT value;0.25;unitless;973 K;10.1016/j.jallcom.2014.12.141;;;
Ca0.98Bi0.02Mn0.98Si0.02O3−δ;ZT value;0.045;unitless;540 K;10.1016/j.mseb.2014.03.009;;;
Ca0.98Bi0.02Mn0.98Si0.02O3−δ;ZT value;0.021;unitless;300 K;10.1016/j.jallcom.2012.10.078;;;
Ca0.98Dy0.02MnO3;ZT value;0.15;unitless;973 K;10.1016/j.jmst.2014.01.002;;;
Ca0.98Dy0.02MnO3−δ;ZT value;0.019;unitless;300 K;10.1016/j.jallcom.2011.04.056;;;
(Ca0.995Sr0.005)3Co4O9;ZT value;0.22;unitless;1000 K;10.1016/j.rser.2013.10.027;;;
(Ca0.995Sr0.005)3Co4O9;ZT value;0.22;unitless;1000 K;10.1016/j.jallcom.2010.10.209;;;
(Ca0.995Sr0.005)3Co4O9;ZT value;0.22;unitless;1000 K;10.1016/j.jallcom.2010.10.209;;;
(Ca0.995Sr0.005)3Co4O9;ZT value;0.22;unitless;1000 K;10.1016/j.jallcom.2010.10.209;;;
Ca0.99Gd0.01Mn0.99W0.01O3-δ;ZT value;0.12;unitless;700 °C;10.1016/j.jallcom.2016.12.359;;;
Ca0.9Dy0.1MnO3;ZT value;0.2;unitless;1000 K;10.1016/j.ceramint.2014.09.089;;;
Ca0.9Y0.1Mn0.95Fe0.05O3;ZT value;0.11;unitless;1150 K;10.1016/j.ijhydene.2015.09.017;;;
Ca0.9Yb0.1MnO3;ZT value;0.16;unitless;1000 K;10.1016/j.apsusc.2016.10.209;;;
Ca0.9Yb0.1MnO3;ZT value;0.16;unitless;1000 K;10.1016/j.jallcom.2012.10.160;;;
Ca0.9Yb0.1MnO3;ZT value;0.16;unitless;1000 K;10.1016/j.jallcom.2015.02.074;;;
Ca1-xRExMnO3;ZT value;0.25;unitless;727 °C;10.1016/j.jallcom.2016.12.359;;;
Ca2.55Na0.45Co4О8.55F0.45;ZT value;0.13;unitless;873 K;10.1016/j.jallcom.2016.11.405;;;
Ca2.6Nd0.3Na0.1Co4O9+δ;ZT value;0.29;unitless;1073 K;10.1016/j.ssc.2008.03.012;;;
Ca2.75Gd0.25Co4O9;ZT value;0.23;unitless;923 K;10.1016/j.pmatsci.2013.06.003;;;
Ca2.7Ag0.3Co4O9;ZT value;0.5;unitless;1000 K;10.1016/j.matchemphys.2017.05.050;;;
Ca2.7Ag0.3Co4O9;ZT value;0.5;unitless;1000 K;10.1016/j.jallcom.2013.11.116;;;
Ca2.7Ag0.3Co4O9;ZT value;0.5;unitless;1000 K;10.1016/j.pmatsci.2013.06.003;;;
Ca2.7Ag0.3Co4O9;ZT value;0.5;unitless;1000 K;10.1016/j.jallcom.2008.10.162;;;
Ca2.7Ag0.3Co4O9;ZT value;0.5;unitless;1000 K;10.1016/j.jallcom.2008.10.162;;;
Ca2.7Ag0.3Co4O9;ZT value;0.5;unitless;1000 K;10.1016/j.jallcom.2008.10.162;;;
Ca2.7Ag0.3Co4O9;ZT value;0.5;unitless;1000 K;10.1016/j.jallcom.2011.09.008;;;
Ca2.7Ag0.3Co4O9;ZT value;0.5;unitless;1000 K;10.1016/j.jallcom.2010.09.150;;;
Ca2.7Ag0.3Co4O9/Ag composite;ZT value;0.5;dimensionless;1000 K;10.1007/s10854-024-13400-y;;;
Ca2.7Ag0.3Co4O9/Ag composite (10 wt%);ZT value;0.5;dimensionless;1000 K;10.1007/s10854-017-7681-0;;;
Ca2.7Bi0.3Co3.9Fe0.1O9+δ;ZT value;0.4;unitless;973 K;10.1016/j.jallcom.2014.06.190;;;
Ca2.7Bi0.3Co3.9Fe0.1O9+δ;ZT value;0.4;unitless;973 K;10.1016/j.jallcom.2014.06.190;;;
Ca2.7Bi0.3Co3.9Fe0.1O9+δ;ZT value;0.4;unitless;973 K;10.1016/j.jallcom.2014.06.190;;;
Ca2.7Bi0.3Co4O9;ZT value;0.03;unitless;300 K;10.1016/j.enconman.2013.07.009;;;
Ca2.7Dy0.3Co4O9+δ;ZT value;0.27;unitless;1000 K;10.1016/j.jallcom.2003.12.018;;;
Ca2.7Er0.3Co4O9+δ;ZT value;0.28;unitless;1073 K;10.1016/j.physb.2010.11.043;;;
Ca2.7Er0.3Co4O9+δ;ZT value;0.28;unitless;1073 K;10.1016/j.physb.2010.11.043;;;
Ca2.7Eu0.3Co4O9+δ;ZT value;0.3;unitless;1000 K;10.1016/j.ssc.2003.11.045;;;
Ca2.7Gd0.15Y0.15Co4O9+δ;ZT value;0.26;unitless;973 K;10.1016/j.cap.2008.03.010;;;
Ca2.7Gd0.15Y0.15Co4O9+δ;ZT value;0.26;unitless;973 K;10.1016/j.cap.2008.03.010;;;
Ca2.7Y0.15Gd0.15Co4O9+δ;ZT value;0.26;unitless;973 K;10.1016/j.cap.2008.03.010;;;
Ca2.7Y0.3Co4O9+δ;ZT value;0.22;unitless;973 K;10.1016/j.jpcs.2009.01.003;;;
Ca2.7Y0.3Co4O9+δ;ZT value;0.22;unitless;973 K;10.1016/j.jpcs.2009.01.003;;;
Ca2.7Y0.3Co4O9+δ;ZT value;0.22;unitless;973 K;10.1016/j.jpcs.2009.01.003;;;
Ca2.8Ag0.15Lu0.05Co4O9+δ;ZT value;0.61;unitless;1118 K;10.1016/j.jallcom.2012.10.160;;;
Ca2.8Ag0.15Lu0.05CoO9+δ;ZT value;0.61;unitless;1118 K;10.1016/j.apsusc.2016.10.209;;;
Ca2.8Ba0.1Pr0.1Co4O9+δ;ZT value;0.46;unitless;1100 K;10.1016/j.jallcom.2016.06.051;;;
Ca2.8Ba0.1Pr0.1Co4O9+δ;ZT value;0.31;unitless;973 K;10.1016/j.jallcom.2016.06.051;;;
Ca2.8Ba0.1Pr0.1Co4O9+δ;ZT value;0.58;unitless;1200 K;10.1016/j.jallcom.2016.06.051;;;
Ca2.8Ba0.1Pr0.1Co4O9+δ;ZT value;0.31;unitless;973 K;10.1016/j.jallcom.2016.06.051;;;
Ca2.8Ba0.1Pr0.1Co4O9+δ;ZT value;0.31;unitless;973 K;10.1016/j.jallcom.2016.06.051;;;
Ca2.8Ba0.1Pr0.1Co4O9+δ;ZT value;0.31;unitless;973 K;10.1016/j.jallcom.2016.06.051;;;
Ca2.8Ba0.1Pr0.1Co4O9+δ;ZT value;0.31;unitless;973 K;10.1016/j.jallcom.2016.06.051;;;
Ca2.8Bi0.2Co4O9;ZT value;0.43;unitless;1073 K;10.1016/j.jeurceramsoc.2015.10.042;;;
Ca2.8Bi0.2Co4O9;ZT value;0.43;unitless;1073 K;10.1016/j.jeurceramsoc.2015.10.042;;;
Ca2.8Bi0.2Co4O9;ZT value;0.43;unitless;1073 K;10.1016/j.jeurceramsoc.2015.10.042;;;
Ca2.8La0.2Co3.8Cu0.2O9;ZT value;0.203;unitless;773 K;10.1016/j.jallcom.2012.02.112;;;
Ca2.8La0.2Co3.8Cu0.2O9;ZT value;0.2;dimensionless;773 K;10.1007/s10854-019-02838-0;;;
Ca2.8Lu0.15Ag0.05Co4O9;ZT value;0.6;unitless;1100 K;10.1016/j.enconman.2016.02.001;;;
Ca2.8Lu0.2Co4O9+ƍ;ZT value;0.36;unitless;800 °C;10.1016/j.ceramint.2016.07.124;;;
Ca2.8Lu0.2Co4O9+δ;ZT value;0.36;unitless;1073 K;10.1016/j.jallcom.2010.09.150;;;
Ca2.8Lu0.2Co4O9+δ;ZT value;0.36;unitless;1073 K;10.1016/j.jallcom.2015.12.231;;;
Ca2.8Lu0.2Co4O9+δ;ZT value;0.36;unitless;1073 K;10.1016/j.jallcom.2010.09.150;;;
Ca2.8Lu0.2Co4O9+δ;ZT value;0.36;unitless;1073 K;10.1016/j.jallcom.2010.09.150;;;
Ca2.8Lu0.2Co4O9+δ;ZT value;0.36;unitless;1073 K;10.1016/j.jallcom.2010.09.150;;;
Ca2.8Na0.2Co4O8.8F0.2;ZT value;0.12;dimensionless;1000 K;10.1007/s10854-019-02838-0;;;
Ca2.8Yb0.2Co4O9−δ;ZT value;0.16;unitless;870 K;10.1016/j.jallcom.2010.04.014;;;
Ca2.8Yb0.2Co4O9−δ;ZT value;0.16;unitless;870 K;10.1016/j.jallcom.2010.04.014;;;
Ca2.95Bi0.05Co3.95Fe0.05O9+δ;ZT value;0.062;unitless;300 K;10.1016/j.enconman.2013.07.009;;;
Ca2.95Bi0.05Co3.95Fe0.05O9+δ;ZT value;0.062;unitless;300 K;10.1016/j.enconman.2013.07.009;;;
Ca2.95Eu0.05Co4O9+δ;ZT value;0.038;unitless;300 K;10.1016/j.ssc.2013.06.006;;;
Ca2.95Eu0.05Co4O9+δ;ZT value;0.038;unitless;300 K;10.1016/j.ssc.2013.06.006;;;
Ca2.95Yb0.05Co4O9+δ;ZT value;0.037;unitless;300 K;10.1016/j.ceramint.2013.11.040;;;
Ca2.95Yb0.05Co4O9+δ;ZT value;0.037;unitless;300 K;10.1016/j.ceramint.2013.11.040;;;
Ca2.97Ag0.03Co4O9+δ;ZT value;0.23;unitless;973 K;10.1016/j.ssi.2011.07.023;;;
Ca2.9Ce0.1Co3.9Ni0.1O9+δ;ZT value;0.022;unitless;350 K;10.1016/j.ceramint.2015.02.021;;;
